O,الإسباني,أعلن مدرب نادي مانشستر يونايتد الإنجليزي أليكس فيرغوسن أنه يبحث عن لاعب لتعزيز خط الوسط في الفريق بعد الفوز على إشبيلية الإسباني 3 - صفر في مباراة ودية .
O,حول,مع كل ذلك فالتساؤلات والمناقشات لا تنقطع في كل مكان ، في البيوت والأسواق والمكاتب والمصانع ، وفي مقار شركات الاستثمار واجتماعات الجمعيات والمجالس العامة والخاصة ، وبين جدران الغرف المغلقة ، فالأحاديث تتركز دائما حول موضوع واحد ، ماذا عن المستقبل بعد عام 1997 ؟ .
O,،,تفجير كركوك يستهدف مبنى محكمة المدينة ( الفرنسية ) تفجير كركوك وفي كركوك ، على بعد 255 كلم شمال شرق بغداد ، قتل 22 شخصا وأصيب أكثر من مائة بجروح في انفجار سيارة مفخخة وسط المدينة .
O,ضباط,حالوتس يستدعي مائة من قوة الاحتياط لمناقشة أسباب الهزيمة كبار ضباط الجيش حملوا حالوتس مسؤولية الهزيمة ( رويترز - أرشيف ) استدعى رئيس أركان الجيش الإسرائيلي دان حالوتس مائة من ضباط الاحتياط لمناقشة حالات التقصير التي سجلت خلال العدوان الإسرائيلي على لبنان في يوليو / تموز الماضي ، وقالت وسائل الإعلام الإسرائيلية إن الاجتماع سيعقد يوم الثلاثاء القادم .
O,لتوجيه,وأوضح المتحدث باسم القيادة الوسطى الأميركية النقيب فرانك باسكوال للجزيرة أنه عندما ازداد حجم النيران طلبت القوات دعما جويا لتوجيه ضربة للبناية دون معلومات مسبقة عمن كانوا بداخلها .
O,بالمحيط,فكانوا يستعملون المياه المالحة المد بالمحيط في تطهير الأرض من الحشائش واستعمال مياه الأنهار العذبة لري الأرز .
O,الخضر,ولكن الحقيقة أنه لا بديل لذلك ، وقد حاولت الحكومة تخفيف الضغط عن المدينة المكتظة بالسكان بإنشاء ثلاث مدن تابعة تتسع لمليون ونصف المليون نسمة في الأرض الجديدة وهي التي كانت آخر ما استؤجر من الصين بدعوى الحاجة إلى أرض زراعية لإنتاج الخضر والفاكهة ولكن كل هذه الجهود لا تعطي النتائج المرجوة بسبب الزيادة المطردة للسكان والعدد المتزايد من اللاجئين الباحثين عن مستقبل أفضل لهم ولأبنائهم .
O,عن,السيدة دين كالثروب زوجة القس من رواية الإصبع المتحرك تظهر أيضاً في دور مشابه للذي لعبته في تلك الرواية ، مسيحية عقلانية ومخلصة تريد إيقاف الشر دبي - الدوحة والصيف - توقفت الحركة الجوية كليا بين مطارات الإمارات ولبنان ، وأخطرت شركات الطيران جميع الركاب والحاجزين بصعوبة سفرهم الى لبنان ، في الوقت الحالي ولأجل غير معلوم ، ورفضت الشركات تحديد موعد لسفر الحاجزين ، بينما اعلنت عن امكانية تعديل وجهات السفر الى أماكن أخرى ، مع اتاحة المجال للسفر الى دمشق كأقرب نقطة للوصل الى لبنان برا .
O,شيء,كل شيء يمكن استيراده ، والمنافسة الشديدة بين التجار والباعة تؤدي ايضا إلى هبوط الاسعار إلى درجة أدنى من ثمنها الأصلي ، من هنا تكون هناك ضرورة للمساومة عند الشراء حيث يهبط السعر في بعض الأوقات إلى الربع أو أقل بكثير .
O,من,"وفي تصريحات نشرتها صحيفة "" ماركا "" الإسبانية اليوم الثلاثاء قال ألونسو متسابق فريق رينو إن شوماخر متسابق فيراري والفائز ببطولة العالم سبع مرات من قبل هو السائق الأكثر حصولا على العقوبات ، لكنه قال إن ذلك لا ينتقص من قدره كأفضل السائقين مضيفا كذلك أن التنافس معه أمر ممتع ."
O,فرصة,من جانب آخر يجري الحديث داخل نادي بوردو الفرنسي عن إهتمامات تبديها مجموعة من الأندية بالنجم المغربي مروان الشماخ فبرغم أن هذا الأخير إستبعد فكرة الإنضمام لنادي ليون الفرنسي بالنظر إلى أنه كسب مع بوردو فرصة لعب عصبة الأبطال الأوروبية ، إلا أن ذلك لا يمنع أندية من خارج فرنسا من تقديم عروض أولية وقد أكدت بعض المصادر أن فريق أس روما الإيطالي الذي يلعب له الحسين خرجة قد عرض مبلغ 4 مليون يورو واللاعب الكونغولي شاباني نوندا مقابل جلب الشماخ كما أبدى نادي فالنسيا الإسباني ذات الإهتمام من دون الكشف عن عرض بعينه .
O,عربي,"وأضاف أن العلاقات البحرينية ـ المصرية وطيدة ومتميزة في جميع المجالات , وأشار إلي أن قمته مع الرئيس مبارك تناولت التعاون بين البلدين الشقيقين , واستعراض ما تمر به المنطقة العربية من تطورات سواء علي الساحة اللبنانية أو الفلسطينية , وإيجاد موقف عربي متضامن ومتكاتف يساعد علي وقف العنف والتصعيد , الذي ينعكس بشكل مباشر علي شعوبنا ."
O,الحضارية,إن ثورة الملك والشعب تفجر فينا طاقات العمل الوطني لبناء مغرب ديمقراطي ، بمؤسسات ديمقراطية ، وبمجتمع ديمقراطي يستند الى هويته الحضارية ، وإلى قيمه ومقوماته الثقافية والتاريخية والوطنية .
O,المزيد,"كما نلاحظ أن المدينة قد قامت في عام 944م ببناء امتدادات جديدة لأسوارها , وبنت المزيد من المخازن والطرق , ونظمت الأسواق مما يدل على اتساع تجارتها الخارجية والاعتراف بها كميناء دولي لا يقل عن ميناء قوانغتشو , كما تم في عام 1087م بناء مكتب للتجارة الخارجية ."
O,تشهد,> هل تملكين الجرأة لعرض الفيلم في القاهرة ، في الوقت الذي تشهد أفلام عادل امام ومحمد سعد ومحمد هنيدي ؟ ـ « العين ما تعلى على الحاجب » ! بالطبع ، من المستحيل أن ننافس هؤلاء الفنانين الكبار ، ولا مجال للمنافسة أساساً .
O,وبعد,وبعد مرور 9 أعوام على غياب الاثنين ، في حادث مروّع في 31 آب 1997 في فرنسا ، يستمرّ الرئيس السابق لشرطة السكوتلاند ياردز البريطانية ، اللورد ستيفنز ، بالتحقيق في أسباب الوفاة ، فيما أقفلت السلطات الفرنسية هذا الملف .
LOC,الهند,كانت هذه السلالة فيما مضى تنتشر من تركيّا عبر الشرق الأوسط إلى الهند و بنغلاديش ، وقد جعل حجم زمرها الكبيرة و عادتها في الخروج في وضح النهار من الممكن صيدها بشكلٍ كبير أكثر من الببور و النمور .
LOC,غانا,"وقال سفير غانا ، رئيس المجلس نانا ايفا - ابنتنغ ، ان "" القرار لا يغلق الباب امام مزيد من الحوار مع الحكومة السودانية "" ."
LOC,قطر,هذا وتستقبل البلاد هذه الذكري بكل فخر واعتزاز وقد اكتملت اركان الدولة العصرية تحت القيادة الحكيمة لحضرة صاحب السمو الشيخ حمد بن خليفة آل ثاني أمير البلاد المفدي ، فصدر الدستور الدائم واجريت الانتخابات البلدية للمرة الثانية وأرسيت دولة المؤسسات وكفلت الحريات والحقوق وشاركت المرأة بكل جدارة في صناعة هذه النجاحات في ظل ما تحظي به من حقوق ورعاية واهتمام وبفضل السياسة الحكيمة والسديدة لسمو الأمير المفدي ورؤيته الثاقبة تعيش قطر حالياً اجواء الديمقراطية والحرية والمشاركة الشعبية وتلاحماً أكيداً وفاعلاً بين القيادة وشعبها الذي التف حولها وبارك جهودها وخطواتها علي طريقة التحول الديمقراطي والانفتاح الاقتصادي ومع كل يوم يمر من عمر هذه المسيرة المباركة تتوالي ثمار النهضة المظفرة علي المواطن تعيش قطر ولله الحمد حالياً نعمة الأمن والأمان والاستقرار وترفل البلاد في العزة والرخاء ثباتاً علي المواقف وانتماء وطنياً وخليجياً وعربياً واسلامياً وانسانياً وكل ما يحقق الامن والسلام والعدل والطمأنينة في ربوع العالم بأسره .
LOC,مارش,وعلى الطرف الاخر التقت « الشرق الاوسط » أبو عبد الله التركي احد معتنقي الاسلام الذين انتهجوا نهجا متطرفا ، في بريطانيا ، واصبح خليفة ابو حمزة المصري في قيادة جماعة « انصار الشريعة » ببريطانيا ، وهو ما زال محافظا على العهد والوعد الذي قطعه لاستاذه القديم ، الاصولي المصري الذي يقضي عقوبة الحبس في سجن بيل مارش لمدة سبع سنوات ، وابو عبد الله تذوق طعم الاسلام ، الذي نقله من « الظلمات الى النور » كما يقول قبل عشر سنوات .
LOC,العراق,"وذكرت صحيفة "" واشنطن بوست "" ان المقترحات الاولى تتصل بقوة يراوح عدد عناصرها بين عشرة وعشرين الفا ، ويمكن ان تتولى قيادتها سرية فرنسية او تركية من دون مشاركة اميركية ، بسبب التورط الاميركي في العراق وافغانستان ."
